날짜,방송명,상품군,매출,목표매출
2026-06-02,주방 오프닝,주방,11000000,12000000
2026-06-02,패션 위크데이,패션,19000000,18000000
2026-06-03,건강 모닝,건강,7000000,9000000
2026-06-03,리빙 데이,리빙,14000000,15000000
2026-06-04,뷰티 골든,뷰티,21000000,18000000
2026-06-04,주방 미드위크,주방,9000000,11000000
2026-06-05,패션 프라임,패션,26000000,22000000
2026-06-05,건강 스페셜,건강,8000000,9000000
2026-06-06,리빙 위크엔드,리빙,17000000,16000000
2026-06-06,뷰티 나이트,뷰티,23000000,20000000
2026-06-07,주방 선데이,주방,13000000,12000000
2026-06-07,패션 선데이,패션,20000000,21000000
2026-06-08,건강 클로징,건강,9500000,9000000
2026-06-08,리빙 클로징,리빙,16000000,15000000
2026-06-08,뷰티 클로징,뷰티,24000000,20000000
